nazev_suroviny,pocet_blokovanych_receptu,priklad_id_receptu
jogurt z plnotucneho mleka,1,256
kachni vejce,1,522
kaki,1,502
kandovana pomerancova kura,1,602
kardamom,1,565
klobasa,1,182
knorr hollandaise sauce mix,1,50
kokosove mleko plnotucne,1,565
koncentrat limonady,1,581
kondenzovane mleko,1,582
konopny proteinovy prasek,1,548
koreni,1,187
koreni citron a pepr,1,142
koreni na dynovy kolac,1,577
koreni v kostce,1,124
koriandrova seminka,1,621
kosher salt,1,146
kost s uzeninou,1,621
kozi syr chavrie,1,526
krupavy chleb k podavani,1,536
kruti klobasa,1,518
krutonky,1,617
kure,1,639
kureci kousky,1,124
kureci palicky,1,130
kureci prsa bez kuze a kosti,1,169
kyselina vinna,1,535
lamanka,1,612
lasagne bez vareni,1,182
lehce oslazena slehacka nebo,1,80
lepkava ryzova mouka,1,582
lime juice,1,57
lime kura,1,132
lime stava,1,132
limonada,1,142
liquid egg substitute,1,46
lzice smetany,1,522
mahagonova ryze,1,141
makova napln,1,582
mangosteen,1,57
maraschino tresen,1,534
maslo country crock,1,123
maslova dynova kase,1,516
maso na duseni,1,147
maso na gulas,1,149
masova omacka,1,205
mata peprna (extrakt),1,604
mexicka smes syra,1,119
mild cheddar,1,207
mirin,1,643
miso paste,1,491
mlade listy cervene repy,1,512
mlady kapustovy salat,1,485
mleta horcice,1,562
mleta kukuricna krupice,1,496
mlete hrebicek,1,149
mlete klobasy,1,44
mlete veprove,1,179
mlety horcicny prasek,1,246
mlety kardamom,1,602
monterey jack syr,1,562
muffins,1,50
multigrain bread,1,48
naan bread,1,654
nahrada vajec,1,533
nakladane hovezi,1,515
nefiltrovany med,1,609
nepecene testo na kolac,1,562
nepsenicna mouka,1,535
non fat yogurt,1,55
nonfat cottage cheese,1,53
olive oil extra virgin,1,648
olivy plnene pimentem,1,130
omacka hollandaise knorr,1,564
orange pepper,1,47
orechove ovesne vlocky,1,39
ostre americke syry,1,121
ovesna mouka,1,496
palacinkova smes,1,544
paliva chilli paprika,1,124
paprika (koreni),1,617
parsnip,1,133
pasta omacka,1,178
pch salt,1,76
pecorino romano,1,49
pepper flakes,1,146
pikantni marinara omacka,1,187
piknikova sunka,1,547
pistachios,1,41
pita chleb z celozrnne mouky,1,192
pita pockets,1,649
posirovany losos,1,136
poznamka: pouzil jsem pomerance,1,83
predpeceny korpus,1,526
prirodni jogurt (neslazeny),1,209
privedte k varu nekolik hrnku vody,1,508
proteinovy prasek premier protein,1,550
pufovany ryzovy cerealie,1,591
rainbow chard,1,52
rajcata z konzervy,1,536
rajcatovy protlak,1,185
ramen,1,179
ranch dressing,1,649
raspberries and mint leaves,1,59
raspberry fruit spread,1,589
recky jogurt plnotucny,1,255
recky jogurt s vanilkou,1,534
reconstituted sun-dried tomatoes,1,491
reduced fat cheddar cheese,1,34
refried fazole,1,119
roast turkey,1,649
romano syr,1,172
rosemary and thyme,1,133
rostlinne mleko,1,601
rum,1,595
ruzova voda,1,602
rybi filety,1,190
rybi kolacek,1,551
safran,1,602
salsa,1,120
seafood seasoning,1,50
seasonings,1,491
silna kava,1,586
smazeny cesnek,1,527
smes bobuloveho ovoce,1,507
smes na dresink hidden valley ranch,1,149
smetanova houbova polevka,1,147
smetanova kureci polevka,1,121
snizenotucna smetana,1,501
soja omacka s nizkym obsahem sodiku,1,118
sou cream,1,648
soy sauce,1,643
spring mix greens,1,649
stava z citronu meyer,1,511
stevie,1,565
sugar,1,78
susena cizrna,1,619
susene brusinky,1,250
suseny tymian,1,619
swiss cheese,1,53
syr brie,1,143
syr gouda prima donna,1,538
syr gruyere,1,553
syr havarti,1,555
t cream,1,47
tarragon leaves,1,137
tarragon stalks,1,137
tekuty kour,1,141
testo na kolac,1,553
testo na kolac o prumeru 23 cm,1,555
testo na quiche,1,538
thajska bazalka,1,132
to),1,614
tortilla,1,44
trocha maku,1,582
tuna,1,198
tvrdy syr,1,524
tzatziki,1,503
udon s krevetami,1,551
ustricova omacka,1,179
vajecny nahrazka,1,611
vanilkova pasta,1,611
vanilkovy lusk,1,609
vanilkovy proteinovy prasek,1,497
vanilla almond granola,1,59
vanilla silk almond milk,1,490
vanilla sugar,1,31
veganske maslo,1,571
veprova plec,1,628
vino,1,169
voda - prave tolik,1,523
voda *2,1,628
voda minus 2 lzice & pridat 2,1,532
wasabi paste,1,643
watercress,1,137
whip cream,1,78
zbytky kurete milanskeho stylu,1,560
zelena dyne,1,178
zelene cibule,1,169
zlate maliny,1,568
